method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
POST,/sendFeedback,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=NOqkusYP')),1,0,1,1,5,2,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/,,0,0,0,0,3,0,bad
GET,/images,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/search.jsp?query=%40%40pY60k,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,,,1,1,0,0,0,0,bad
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents,,0,0,0,0,3,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2<(0%2B5%2B623-623)%20or%20'bkqL7jUZ'='&uid=e,4,0,0,1,4,1,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
POST,/sendFeedback,submit=%20Submit%20&cfile=comments.txt&comments=-1,0,0,1,1,5,2,bad
POST,/sendFeedback,GDKvHjup',3,0,1,0,5,2,bad
GET,/search.jsp?query=-1%20OR%202%2B646-646-1=0%2B0%2B0%2B1,,0,0,0,0,2,0,bad
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm,,0,0,0,0,3,0,bad
GET,/doLogin,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp?HostName=if(now()=sysdate()%2Csleep(6)%2C0),,0,0,0,4,0,1,bad
GET,/index.jsp?content=UeMSmxvN&job=OperationalRiskManager:RiskManagement,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/index.jsp,,0,0,0,0,0,0,good
GET,,,2,2,0,0,0,0,bad
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/survey_questions.jsp?step=1%20waitfor%20delay%20'0:0:0'%20--%20,,2,0,1,0,5,2,bad
GET,/index.jsp?content=personal_deposit.htm,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1,0,0,0,0,0,1,bad
GET,/disclaimer.htm,,0,0,0,0,0,0,good
POST,/sendFeedback,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=0'XOR(if(now()=sysdate()%2Csleep(6)%2C0))XOR'Z,2,0,0,5,2,1,bad
GET,/index.jsp?content=pr/20061005.htm,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp?step=1%20waitfor%20delay%20'0:0:16'%20--%20,,2,0,1,0,5,2,bad
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
POST,/sendFeedback,ZG2n6kmh')),1,0,1,1,3,2,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/subscribe.swf,,0,0,0,0,0,0,good
GET,,,1,1,0,0,0,0,bad
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/index.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,,,1,1,0,0,0,0,bad
GET,/index.jsp,,0,0,0,0,0,0,good
GET,/index.jsp?content=business_deposit.htm,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/my%20documents/,,0,0,0,0,1,0,bad
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/disclaimer.htm?url=if(now()=sysdate()%2Csleep(3)%2C0),,0,0,0,4,0,1,bad
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,,,2,2,0,0,0,0,bad
GET,/index.jsp?content=%40%404n20p,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp?sec=Careers&template=7BYeFLnL'),,1,0,1,1,3,2,bad
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/index.jsp?content=inside_jobs.htm&job=Teller:ConsumaerBanking,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp?step=0'XOR(if(now()=sysdate()%2Csleep(16)%2C0))XOR'Z,,2,0,0,5,0,1,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
POST,/sendFeedback,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=1%20waitfor%20delay%20'0:0:9'%20--%20&name=zFPWdwPk&subject=1,2,0,1,0,7,2,bad
GET,/doLogin,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/index.jsp?content=-1%20OR%202%2B446-446-1=0%2B0%2B0%2B1,,0,0,0,0,2,0,bad
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/index.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/search.jsp?query=1*1*1*1,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=YG8oc6YQ,0,0,0,0,0,0,good
GET,/index.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/disclaimer.htm,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
POST,/doLogin,btnSubmit=Login&passw=%5C&uid=1,0,0,0,0,0,1,bad
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
POST,/sendFeedback,,1,1,0,0,0,0,bad
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/index.jsp?content=2wJYJnwL')),,1,0,1,1,3,2,bad
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/default.jsp?content=security.htm,,0,0,0,0,0,0,good
GET,/index.jsp?content=1%20waitfor%20delay%20'0:0:6'%20--%20&job=LoyaltyMarketingProgramManager:Marketing,,2,0,1,0,5,2,bad
GET,/index.jsp,,0,0,0,0,0,0,good
POST,/doLogin,WpFC341P',1,0,1,1,3,3,bad
GET,/sendFeedback,,0,0,0,0,0,0,good
POST,/sendFeedback,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=-1'%20OR%202%2B538-538-1=0%2B0%2B0%2B1%20--%20,1,0,1,0,6,0,bad
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/favicon.ico,,0,0,0,0,0,0,good
POST,/sendFeedback,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=oTIbFqtN',1,0,1,1,5,2,bad
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/index.jsp?content=inside_jobs.htm&job=ExecutiveAssistant:Administration,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,,,0,1,1,0,4,0,bad
GET,/disclaimer.htm?url=http://www.netscape.com,,0,0,0,0,0,0,good
GET,/default.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/index.jsp,,0,0,0,0,0,0,good
GET,/doSubscribe,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
GET,/search.jsp,,0,0,0,0,0,0,good
GET,/Privacypolicy.jsp,,0,0,0,0,0,0,good
GET,/doLogin,,0,0,0,0,0,0,good
POST,/doLogin,-1'%20OR%202%2B598-598-1=0%2B0%2B0%2B1%20or%20'WnrQNEW7'='&passw=g00dPa%24%24w0rD&uid=1,4,0,0,0,4,1,bad
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=%5C,0,0,0,0,0,1,bad
GET,/sendFeedback,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203%2B914-914-1=0%2B0%2B0%2B1%20or%20'QmbTa8Nm'='&uid=1,4,0,0,0,4,1,bad
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,good
GET,/survey_questions.jsp,,0,0,0,0,0,0,good
