method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/my%20documents/JohnSmith/Bank%20Site%20Documents/,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_volunteering.htm,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=ExecutiveAssistant:Administration,0,0,0,0,0,0,good
GET,,/favicon.ico,0,0,0,0,0,0,good
GET,,/favicon.ico,0,0,0,0,0,0,good
GET,,/index.jsp?content=security.htm,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_community.htm,0,0,0,0,0,0,good
GET,,/Documents,0,0,0,0,0,0,good
GET,,/login.jsp,0,0,0,0,0,0,good
GET,,/Documents/,0,0,0,0,0,0,good
POST,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=e,/doLogin,0,0,0,0,0,2,bad
GET,,/index.jsp?content=personal_deposit.htm,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=OperationalRiskManager:RiskManagement,0,0,0,0,0,0,good
GET,,/index.jsp?content=privacy.htm,0,0,0,0,0,0,good
GET,,/util,0,0,0,0,0,0,good
GET,,/,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside.htm,0,0,0,0,0,0,good
GET,,/my%20documents/JohnSmith/,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp?HostName=AltoroMutual,0,0,0,0,0,0,good
GET,,/admin/,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_press.htm,0,0,0,0,0,0,good
GET,,/index.jsp?content=,0,0,0,0,0,0,good
GET,,/Gnx78vIc,0,0,0,0,0,0,good
GET,,/my%20documents/JohnSmith,0,0,0,0,0,0,good
GET,,/subscribe.jsp,0,0,0,0,0,0,good
GET,,/sitemap.xml,0,0,0,0,0,0,good
GET,,/index.jsp?content=personal_savings.htm,0,0,0,0,0,0,good
GET,,/images,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_careers.htm,0,0,0,0,0,0,good
GET,,/index.jsp?content=personal.htm,0,0,0,0,0,0,good
GET,,/index.jsp?content=business_deposit.htm,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/my%20documents/JohnSmith/Bank%20Site%20Documents,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/index.jsp?content=personal_investments.htm,0,0,0,0,0,0,good
